# The geomagnetic regime each day was in.
#
# Source: NGDC DSD/DGD annual summaries via prf_indices_fetch.m, built 2026-07-31T19:42:22.
# A three-component Gaussian mixture fitted to the record, one label per day.
# Derived, and a model output rather than an observation: a day labelled 'storm'
# is a day the mixture assigned there, with the confidence stated beside it.
#
# Columns:
#   date        calendar date, UTC
#   regime      regime name
#   confidence  posterior probability of the assigned regime, 0-1
#   p_quiet     posterior probability of 'quiet'
#   p_active    posterior probability of 'active'
#   p_storm     posterior probability of 'storm'
#
date,regime,confidence,p_quiet,p_active,p_storm
1997-01-09,quiet,0.465,0.465,0.366,0.168
1997-01-10,storm,0.604,0,0.396,0.604
1997-01-11,active,0.666,0.047,0.666,0.287
1997-01-12,active,0.612,0.148,0.612,0.24
1997-01-13,quiet,0.546,0.546,0.296,0.158
1997-01-18,quiet,0.546,0.546,0.296,0.158
1997-01-19,quiet,0.601,0.601,0.237,0.162
1997-01-20,quiet,0.546,0.546,0.296,0.158
1997-01-21,active,0.568,0.209,0.568,0.222
1997-01-22,quiet,0.546,0.546,0.296,0.158
1997-01-23,quiet,0.607,0.607,0.194,0.199
1997-01-24,quiet,0.607,0.607,0.194,0.199
1997-01-25,quiet,0.465,0.465,0.366,0.168
1997-01-26,active,0.666,0.047,0.666,0.287
1997-01-27,active,0.666,0.047,0.666,0.287
1997-01-29,active,0.511,0.286,0.511,0.204
1997-01-30,active,0.641,0.103,0.641,0.256
1997-02-01,quiet,0.465,0.465,0.366,0.168
1997-02-02,active,0.612,0.148,0.612,0.24
1997-02-03,active,0.441,0.374,0.441,0.185
1997-02-04,quiet,0.546,0.546,0.296,0.158
1997-02-05,active,0.441,0.374,0.441,0.185
1997-02-06,active,0.568,0.209,0.568,0.222
1997-02-07,quiet,0.607,0.607,0.194,0.199
1997-02-08,active,0.581,0.002,0.581,0.417
1997-02-09,active,0.653,0.015,0.653,0.332
1997-02-10,active,0.581,0.002,0.581,0.417
1997-02-11,active,0.598,0.003,0.598,0.399
1997-02-12,active,0.441,0.374,0.441,0.185
1997-02-13,quiet,0.601,0.601,0.237,0.162
1997-02-14,quiet,0.546,0.546,0.296,0.158
1997-02-15,quiet,0.601,0.601,0.237,0.162
1997-02-16,active,0.511,0.286,0.511,0.204
1997-02-17,active,0.642,0.01,0.642,0.348
1997-02-20,quiet,0.601,0.601,0.237,0.162
1997-02-22,quiet,0.465,0.465,0.366,0.168
1997-02-23,active,0.568,0.209,0.568,0.222
1997-02-26,active,0.666,0.047,0.666,0.287
1997-02-27,active,0.598,0.003,0.598,0.399
1997-02-28,storm,0.622,0,0.378,0.622
1997-03-01,active,0.612,0.148,0.612,0.24
1997-03-02,active,0.658,0.07,0.658,0.272
1997-03-03,quiet,0.546,0.546,0.296,0.158
1997-03-04,quiet,0.601,0.601,0.237,0.162
